sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:38:19_179 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,215253959,0.937540,0.192278,0.020475,0.289188,0.031031,-0.109879,0.170481
2,215270626,0.937608,0.192093,0.020279,0.289102,-0.013931,-0.059138,0.309663
3,215287293,0.937647,0.191882,0.020307,0.289114,-0.002859,-0.002729,0.299732
4,215303960,0.937533,0.192065,0.020278,0.289365,-0.049500,-0.027140,0.305202
5,215320627,0.937470,0.192209,0.020329,0.289468,0.015631,0.034097,0.250720
6,215337294,0.937222,0.192738,0.020377,0.289918,-0.040887,0.049277,0.232098
7,215353961,0.937034,0.193128,0.020294,0.290270,0.022576,0.066757,0.279345
8,215370628,0.936874,0.193528,0.020119,0.290533,0.030539,-0.033585,0.218857
9,215387295,0.936732,0.193934,0.019929,0.290732,0.015576,-0.082874,0.258171
10,215403962,0.936626,0.194197,0.019708,0.290914,0.042901,-0.089524,0.249242
11,215420629,0.936470,0.194513,0.019615,0.291211,0.000791,-0.142518,0.217781
12,215437296,0.936371,0.194949,0.019556,0.291244,-0.094555,-0.081638,0.258601
13,215453963,0.936246,0.195231,0.019494,0.291461,-0.068510,-0.074256,0.212616
14,215470630,0.936115,0.195659,0.019498,0.291592,-0.109291,-0.119675,0.224146
15,215487297,0.936018,0.196063,0.019458,0.291634,-0.057491,-0.104158,0.293034
16,215503964,0.935918,0.196327,0.019401,0.291783,0.028566,-0.131340,0.236659
17,215520631,0.935765,0.196817,0.019516,0.291935,-0.044779,-0.179841,0.300251
18,215537298,0.935685,0.197188,0.019583,0.291936,-0.097365,-0.062205,0.344096
19,215553965,0.935607,0.197250,0.019519,0.292149,-0.095099,-0.095406,0.295012
20,215570632,0.935527,0.197335,0.019385,0.292358,-0.069635,-0.134359,0.240361
21,215587299,0.935453,0.197469,0.019195,0.292515,-0.057436,-0.130961,0.265961
22,215603966,0.935373,0.197528,0.018937,0.292747,-0.051127,-0.129204,0.253757
23,215620633,0.935325,0.197665,0.018699,0.292825,0.039965,-0.182924,0.218492
24,215637300,0.935239,0.198074,0.018715,0.292822,-0.082686,-0.130621,0.213238
25,215653967,0.935196,0.198253,0.018453,0.292853,-0.130049,-0.168993,0.254316
26,215670634,0.935150,0.198313,0.018191,0.292976,0.086081,-0.185466,0.274788
27,215687301,0.935080,0.198542,0.018057,0.293054,0.007516,-0.250452,0.272682
28,215703968,0.934977,0.198880,0.017987,0.293157,0.038069,-0.152223,0.247768
29,215720635,0.934855,0.199287,0.018009,0.293269,-0.058551,-0.065095,0.294687
30,215737302,0.934742,0.199542,0.017992,0.293458,-0.145471,-0.059522,0.271645
31,215753969,0.934663,0.199675,0.017772,0.293631,-0.110616,-0.128226,0.245732
32,215770636,0.934594,0.199646,0.017517,0.293886,-0.061830,-0.172278,0.245011
33,215787303,0.934536,0.199645,0.017295,0.294085,-0.083122,-0.278964,0.269020
34,215803970,0.934450,0.199781,0.017063,0.294278,-0.059740,-0.307739,0.225104
35,215820637,0.934372,0.200025,0.016972,0.294365,-0.088072,-0.212634,0.276462
36,215837304,0.934335,0.200117,0.016776,0.294432,-0.044922,-0.174352,0.213030
37,215853971,0.934258,0.200354,0.016711,0.294519,-0.066734,-0.212515,0.196186
38,215870638,0.934192,0.200568,0.016551,0.294591,-0.057836,-0.199885,0.260855
39,215887305,0.934106,0.200827,0.016436,0.294692,-0.096781,-0.258021,0.265035
40,215903972,0.934030,0.201109,0.016311,0.294750,-0.046141,-0.307437,0.274984
41,215920639,0.933964,0.201495,0.016270,0.294697,-0.088117,-0.215575,0.257052
42,215937306,0.933891,0.201725,0.016155,0.294779,-0.112193,-0.212371,0.293282
43,215953973,0.933822,0.201955,0.015985,0.294848,-0.004198,-0.287695,0.208094
44,215970640,0.933727,0.202290,0.015738,0.294933,-0.050727,-0.320928,0.218941
45,215987307,0.933596,0.202859,0.015630,0.294962,-0.139859,-0.356077,0.220265
46,216003974,0.933508,0.203345,0.015527,0.294913,-0.142313,-0.262355,0.331707
47,216020641,0.933471,0.203606,0.015346,0.294857,0.006809,-0.222995,0.253099
48,216037308,0.933390,0.203957,0.015304,0.294873,0.010304,-0.284629,0.203577
49,216053975,0.933307,0.204362,0.015220,0.294861,-0.017432,-0.315787,0.223095
50,216070642,0.933193,0.204831,0.015123,0.294901,-0.050951,-0.330701,0.273145
51,216087309,0.933095,0.205226,0.015024,0.294941,-0.067731,-0.340100,0.282001
52,216103976,0.932989,0.205581,0.014922,0.295036,-0.071193,-0.311520,0.268901
53,216120643,0.932903,0.205926,0.014889,0.295067,-0.087553,-0.329199,0.227425
54,216137310,0.932835,0.206263,0.014813,0.295050,-0.138581,-0.372001,0.254052
55,216153977,0.932770,0.206611,0.014744,0.295017,-0.131493,-0.342637,0.240163
56,216170644,0.932712,0.206895,0.014664,0.295004,-0.140132,-0.350852,0.279458
57,216187311,0.932658,0.207110,0.014541,0.295030,-0.022687,-0.326555,0.271447
58,216203978,0.932565,0.207420,0.014568,0.295105,-0.129443,-0.370404,0.249811
59,216220645,0.932541,0.207597,0.014402,0.295066,-0.110048,-0.382955,0.217411
60,216237312,0.932457,0.208000,0.014362,0.295048,-0.123994,-0.415642,0.216188
61,216253979,0.932385,0.208441,0.014324,0.294967,-0.117546,-0.354654,0.254811
62,216270646,0.932325,0.208761,0.014245,0.294935,-0.095691,-0.329540,0.287920
63,216287313,0.932276,0.209023,0.014126,0.294908,-0.055420,-0.391837,0.254691
64,216303980,0.932199,0.209395,0.014025,0.294892,-0.095838,-0.419012,0.265974
65,216320647,0.932120,0.209705,0.013871,0.294929,-0.084175,-0.381382,0.249763
66,216337314,0.932036,0.210135,0.013805,0.294892,-0.101893,-0.395536,0.256827
67,216353981,0.931972,0.210411,0.013671,0.294905,-0.182618,-0.428812,0.281756
68,216370648,0.931968,0.210471,0.013488,0.294884,-0.015502,-0.410216,0.290097
69,216387315,0.931909,0.210651,0.013456,0.294940,-0.103806,-0.460694,0.268720
70,216403982,0.931871,0.210810,0.013300,0.294957,-0.093172,-0.437081,0.225773
71,216420649,0.931794,0.211173,0.013219,0.294943,-0.163130,-0.380915,0.251438
72,216437316,0.931752,0.211378,0.013113,0.294933,-0.165646,-0.380904,0.232233
73,216453983,0.931702,0.211630,0.012966,0.294918,-0.133429,-0.450720,0.211828
74,216470650,0.931643,0.211963,0.012943,0.294866,-0.088308,-0.422616,0.236759
75,216487317,0.931621,0.212152,0.012811,0.294805,-0.064037,-0.453609,0.287291
76,216503984,0.931555,0.212380,0.012727,0.294854,-0.131082,-0.529194,0.201709
77,216520651,0.931477,0.212711,0.012583,0.294869,-0.118702,-0.528650,0.213757
78,216537318,0.931416,0.213019,0.012436,0.294843,-0.130202,-0.516894,0.249245
79,216553985,0.931339,0.213347,0.012364,0.294852,-0.091347,-0.506521,0.225999
80,216570652,0.931261,0.213721,0.012320,0.294829,-0.118914,-0.477972,0.264932
81,216587319,0.931219,0.213954,0.012209,0.294797,-0.086583,-0.459915,0.250642
82,216603986,0.931170,0.214233,0.012139,0.294753,-0.106459,-0.495834,0.274117
83,216620653,0.931092,0.214525,0.012061,0.294790,-0.136958,-0.481540,0.256748
84,216637320,0.931001,0.214757,0.011953,0.294914,-0.187843,-0.493454,0.291802
