sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:37:15_065 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,151143284,0.929995,-0.036322,-0.049887,0.362354,0.054610,0.051648,0.193995
2,151159951,0.929844,-0.035860,-0.050241,0.362739,-0.132729,-0.094708,0.287994
3,151176618,0.929810,-0.035636,-0.049401,0.362965,-0.087811,-0.187719,0.228439
4,151193285,0.929863,-0.036227,-0.048163,0.362936,0.020620,-0.060369,0.242188
5,151209952,0.929848,-0.036330,-0.047972,0.362989,0.046596,0.019172,0.264452
6,151226619,0.929949,-0.036209,-0.048152,0.362719,0.112328,0.080248,0.250720
7,151243286,0.929957,-0.035784,-0.048523,0.362691,0.034982,0.072889,0.276731
8,151259953,0.930077,-0.035330,-0.048989,0.362366,0.023983,0.035809,0.263910
9,151276620,0.930056,-0.034857,-0.049336,0.362419,-0.000784,-0.021650,0.228770
10,151293287,0.930059,-0.034438,-0.049777,0.362390,-0.016327,-0.025933,0.281605
11,151309954,0.930103,-0.033951,-0.050129,0.362275,0.000559,-0.038479,0.245065
12,151326621,0.930062,-0.033581,-0.050586,0.362350,0.035452,-0.014782,0.281701
13,151343288,0.930126,-0.033152,-0.050895,0.362184,0.080681,0.010303,0.240088
14,151359955,0.930115,-0.032885,-0.051225,0.362190,0.088619,-0.001221,0.202923
15,151376622,0.930172,-0.032521,-0.051215,0.362077,0.061516,-0.060497,0.255931
16,151393289,0.930184,-0.032191,-0.051290,0.362065,-0.074916,-0.091734,0.309730
17,151409956,0.930171,-0.031927,-0.051518,0.362089,-0.047638,-0.150753,0.263144
18,151426623,0.930140,-0.031569,-0.051683,0.362178,-0.088717,-0.150044,0.314883
19,151443290,0.930080,-0.031195,-0.052026,0.362315,-0.086376,-0.165557,0.305390
20,151459957,0.930017,-0.030854,-0.052464,0.362443,0.007529,-0.150245,0.261002
21,151476624,0.930028,-0.030404,-0.052751,0.362410,0.060132,-0.112068,0.252302
22,151493291,0.929986,-0.029936,-0.052943,0.362528,-0.004175,-0.085236,0.236334
23,151509958,0.929981,-0.029490,-0.053162,0.362546,-0.016179,-0.078370,0.232088
24,151526625,0.929965,-0.029103,-0.053398,0.362585,-0.059577,-0.079903,0.259823
25,151543292,0.929926,-0.028781,-0.053724,0.362663,-0.026749,-0.103781,0.248170
26,151559959,0.929982,-0.028408,-0.053959,0.362512,-0.028470,-0.130441,0.248864
27,151576626,0.929941,-0.028077,-0.054277,0.362595,-0.052974,-0.115834,0.286370
28,151593293,0.929913,-0.027757,-0.054566,0.362648,-0.013813,-0.111759,0.275805
29,151609960,0.929898,-0.027534,-0.054825,0.362665,-0.018324,-0.110255,0.279108
30,151626627,0.929900,-0.027296,-0.055062,0.362641,0.012371,-0.156206,0.275047
31,151643294,0.929907,-0.027102,-0.055246,0.362611,0.011712,-0.173909,0.282219
32,151659961,0.929908,-0.026868,-0.055385,0.362605,0.032219,-0.176860,0.266589
33,151676628,0.929974,-0.026551,-0.055461,0.362448,0.000825,-0.175418,0.203667
34,151693295,0.929959,-0.026262,-0.055499,0.362500,-0.032210,-0.194037,0.239326
35,151709962,0.929920,-0.025872,-0.055483,0.362632,-0.097182,-0.182928,0.247953
36,151726629,0.929839,-0.025719,-0.055755,0.362807,-0.110150,-0.221759,0.243812
37,151743296,0.929777,-0.025595,-0.056037,0.362933,0.017634,-0.260586,0.250844
38,151759963,0.929743,-0.025329,-0.056187,0.363015,0.047945,-0.255969,0.281215
39,151776630,0.929691,-0.024995,-0.056159,0.363174,0.025326,-0.227066,0.280046
40,151793297,0.929679,-0.024741,-0.056131,0.363228,-0.037634,-0.204634,0.266823
41,151809964,0.929668,-0.024542,-0.056143,0.363267,-0.018976,-0.238483,0.235524
42,151826631,0.929666,-0.024303,-0.056099,0.363295,-0.044171,-0.240897,0.218255
43,151843298,0.929649,-0.024109,-0.056115,0.363349,-0.061171,-0.246265,0.243712
44,151859965,0.929618,-0.023882,-0.056128,0.363440,-0.071743,-0.255479,0.243337
45,151876632,0.929559,-0.023752,-0.056245,0.363582,-0.082347,-0.271734,0.274648
46,151893299,0.929474,-0.023575,-0.056405,0.363786,-0.008306,-0.312578,0.253283
47,151909966,0.929433,-0.023369,-0.056560,0.363882,0.026676,-0.354454,0.280818
48,151926633,0.929444,-0.023124,-0.056742,0.363839,0.064645,-0.345755,0.243447
49,151943300,0.929464,-0.022768,-0.056765,0.363808,0.050990,-0.351875,0.244580
50,151959967,0.929447,-0.022442,-0.056822,0.363863,0.046380,-0.350552,0.262996
51,151976634,0.929375,-0.022010,-0.056827,0.364072,0.073431,-0.357952,0.247252
52,151993301,0.929249,-0.021520,-0.056767,0.364434,0.052066,-0.344947,0.265256
53,152009968,0.929109,-0.021062,-0.056705,0.364825,0.033045,-0.325357,0.227453
54,152026635,0.929041,-0.020608,-0.056511,0.365054,0.034029,-0.342332,0.218685
55,152043302,0.929009,-0.020182,-0.056251,0.365200,-0.078634,-0.297299,0.245173
56,152059969,0.929006,-0.019870,-0.056133,0.365243,-0.097178,-0.345894,0.256634
57,152076636,0.928984,-0.019535,-0.056008,0.365335,-0.134262,-0.368511,0.255634
58,152093303,0.928916,-0.019240,-0.056120,0.365507,-0.130269,-0.370340,0.248901
59,152109970,0.928876,-0.018982,-0.056315,0.365592,-0.073303,-0.376462,0.267786
60,152126637,0.928853,-0.018717,-0.056551,0.365628,-0.061390,-0.387804,0.277575
61,152143304,0.928836,-0.018406,-0.056831,0.365644,0.000895,-0.383780,0.232611
62,152159971,0.928832,-0.018089,-0.056989,0.365646,0.030702,-0.373269,0.238571
63,152176638,0.928840,-0.017672,-0.057011,0.365643,-0.034881,-0.352791,0.248375
64,152193305,0.928848,-0.017377,-0.057057,0.365627,-0.042107,-0.367456,0.268257
65,152209972,0.928868,-0.017010,-0.056989,0.365605,-0.069869,-0.387865,0.257222
66,152226639,0.928881,-0.016670,-0.056945,0.365595,-0.130409,-0.358810,0.291796
67,152243306,0.928866,-0.016459,-0.057029,0.365628,-0.149697,-0.400106,0.305559
68,152259973,0.928813,-0.016245,-0.057288,0.365732,-0.087938,-0.427188,0.275118
69,152276640,0.928776,-0.015933,-0.057475,0.365813,-0.069785,-0.413006,0.253633
70,152293307,0.928725,-0.015616,-0.057676,0.365922,-0.045665,-0.419757,0.226914
71,152309974,0.928703,-0.015191,-0.057782,0.365981,-0.081938,-0.401603,0.212554
72,152326641,0.928647,-0.014902,-0.057952,0.366107,-0.097339,-0.418848,0.254507
73,152343308,0.928544,-0.014578,-0.058204,0.366341,-0.071864,-0.440759,0.247340
74,152359975,0.928446,-0.014275,-0.058510,0.366553,-0.037613,-0.500705,0.243210
75,152376642,0.928402,-0.013957,-0.058821,0.366627,0.039887,-0.552723,0.263502
